robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,861.46,92.23,0,245.04,0.00,0.00,12,18;28;35;9;42;22;26;49;44;7;31;38
tb2,threshold,846.52,89.98,0,210.43,0.00,0.00,8,2;15;3;11;14;45;33;20;1;34;5;21;43;40
tb3,threshold,1548.78,87.46,2,196.06,0.00,724.04,0,50;25;46;4;27;c1;37;39;32;c1;24;10
tb4,threshold,1288.17,83.73,1,196.23,0.00,518.48,0,30;36;23;12;13;41;29;17;c2;6;48;47;8;16;19
tb1,feasibility,861.46,92.23,0,245.04,0.00,0.00,12,18;28;35;9;42;22;26;49;44;7;31;38
tb2,feasibility,846.52,89.98,0,210.43,0.00,0.00,8,2;15;3;11;14;45;33;20;1;34;5;21;43;40
tb3,feasibility,1548.78,87.46,2,196.06,0.00,724.04,0,50;25;46;4;27;c1;37;39;32;c1;24;10
tb4,feasibility,1364.31,87.05,1,236.43,0.00,554.42,0,30;36;23;12;13;41;29;17;6;c2;48;47;8;16;19
tb1,optimized,1493.90,93.06,3,343.82,0.00,555.26,0,15;7;41;29;c3;8;20;39;c2;4;c3;33;27;47;5;14
tb2,optimized,1619.23,103.90,3,257.21,0.00,637.45,0,9;21;c1;18;49;34;17;45;c3;24;c1;2;40;22;38;31
tb3,optimized,1091.60,75.50,2,286.09,0.00,372.85,0,11;42;6;c2;13;12;50;1;c1;23;35;30;44
tb4,optimized,1574.88,106.70,2,314.71,0.00,557.60,0,46;43;37;36;c2;10;19;25;c1;28;32;3;16;26;48
