robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1603.79,92.81,2,253.82,0.00,723.91,0,42;41;48;39;c2;28;32;49;30;c3;15;13;31
tb2,threshold,1347.71,87.39,1,206.35,0.00,524.94,0,3;10;34;33;1;50;46;c3;6;22;18;2;43;19
tb3,threshold,818.45,89.32,0,178.68,0.00,0.00,15,4;27;20;24;21;44;5;35;47;23;45;9;40
tb4,threshold,1411.78,90.45,1,266.90,0.00,527.00,0,25;36;12;8;38;11;37;c1;14;26;7;29;17;16
tb1,feasibility,1671.98,92.81,2,253.82,68.19,723.91,0,42;41;48;39;c2;28;32;49;30;c3;15;13;31
tb2,feasibility,1414.74,89.92,1,241.16,0.00,557.16,0,3;10;34;33;1;50;46;6;c3;22;18;2;43;19
tb3,feasibility,1549.86,93.40,2,228.11,0.00,681.98,0,4;27;20;24;21;c1;44;5;35;47;23;c2;45;9;40
tb4,feasibility,1524.41,90.65,1,270.30,71.88,564.36,0,25;36;12;8;38;11;37;14;c1;26;7;29;17;16
tb1,optimized,1545.97,96.11,3,347.40,0.00,586.12,0,15;7;41;29;c3;8;20;39;c2;4;c1;33;27;47;5;14
tb2,optimized,1656.21,105.59,3,275.88,0.00,637.41,0,9;21;c1;18;49;34;17;45;c3;24;c3;2;40;22;38;31
tb3,optimized,1112.88,76.49,2,294.22,0.00,382.56,0,11;42;6;c2;13;12;50;1;c1;23;35;30;44
tb4,optimized,1586.42,107.50,2,317.47,0.00,560.28,0,46;43;37;36;c2;10;19;25;c1;28;32;3;16;26;48
