robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1973.88,98.75,3,334.08,161.43,854.46,0,63;3;49;24;c2;12;7;21;8;30;6;c2;60;16;23;38;68;c1;50
tb2,threshold,1497.80,99.38,1,283.86,74.98,486.95,0,26;37;40;17;2;29;25;69;c3;61;27;1;65;11;62;52
tb3,threshold,1786.72,102.95,3,382.07,0.00,797.18,0,36;53;10;19;c1;46;28;41;33;c2;32;20;15;13;c3;70;64
tb4,threshold,1474.79,102.15,1,267.40,22.70,498.64,0,47;57;4;34;18;56;14;48;c1;22;59;67;45;54;66;35
tb5,threshold,1967.72,94.76,3,225.47,225.91,812.78,0,55;5;58;9;c3;44;42;c1;31;43;51;c2;39
tb1,feasibility,1755.11,92.92,2,244.04,110.72,776.44,0,63;3;49;24;12;7;c2;21;8;30;6;60;16;23;38;c1;68;50
tb2,feasibility,1700.40,99.38,1,284.75,276.70,486.95,0,26;37;40;17;2;29;25;69;c1;61;27;1;65;11;62;52
tb3,feasibility,1307.43,97.15,1,309.33,0.00,390.62,4,36;53;10;19;46;28;c3;41;33;32;20;15;13;70;64
tb4,feasibility,1739.98,102.37,1,247.71,264.27,541.94,0,47;57;4;34;18;56;14;48;22;c3;59;67;45;54;66;35
tb5,feasibility,1663.63,94.96,2,232.04,0.00,728.02,0,55;5;58;9;44;c1;42;31;43;c2;51;39
tb1,optimized,1593.03,84.58,3,380.21,161.98,564.05,0,13;52;c2;5;19;1;2;37;4;c2;11;20;c2;51;63;67;23
tb2,optimized,1858.46,117.26,2,432.70,0.00,680.88,0,3;43;66;c2;36;22;45;32;c3;15;58;61;40;70;24
tb3,optimized,1762.85,116.30,3,493.62,0.00,612.64,2,7;44;c1;14;16;54;c3;49;10;28;c1;42;33;68;30;60;46
tb4,optimized,1680.51,108.35,2,299.92,14.46,637.69,0,26;59;41;12;17;21;c1;31;55;56;c2;57;39;8;48;69
tb5,optimized,1888.41,114.91,3,457.98,12.65,761.50,0,50;18;25;6;c3;38;47;64;9;c1;27;29;34;c1;65;62;53;35
