robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1517.20,86.72,2,218.25,120.93,602.72,0,31;16;42;15;45;c2;34;25;37;12;c2;18;43;28;40
tb2,threshold,1308.59,82.29,1,229.29,96.50,447.24,0,2;50;44;11;8;14;6;48;c2;39;36;41;20;47;1
tb3,threshold,1604.54,85.42,2,204.88,148.94,652.88,0,3;35;10;32;27;c1;46;13;19;9;24;c1;30;4;17
tb4,threshold,1429.90,83.95,1,194.08,133.18,476.18,0,21;5;33;23;26;7;c1;29;22;38;49
tb1,feasibility,1784.92,85.57,2,204.31,253.60,751.71,0,31;16;42;15;45;34;c1;25;37;12;18;43;28;c1;40
tb2,feasibility,1292.83,82.71,1,222.43,0.00,534.84,0,2;50;44;11;8;14;6;48;39;c2;36;41;20;47;1
tb3,feasibility,1515.89,85.42,2,204.88,60.29,652.88,0,3;35;10;32;27;c1;46;13;19;9;24;c1;30;4;17
tb4,feasibility,1849.27,84.34,1,166.56,486.98,569.27,0,21;5;33;23;26;7;29;c2;22;38;49
tb1,optimized,1555.91,89.41,4,266.48,88.61,586.40,0,50;c1;46;c1;32;36;c1;30;43;c1;40;22;15;16
tb2,optimized,1641.45,102.31,3,341.49,106.14,526.13,0,20;39;9;c1;33;c1;29;49;c2;34;26;45;7;38;31
tb3,optimized,1232.44,75.41,2,294.50,70.75,443.17,0,18;13;14;11;37;c2;6;2;44;c2;28;27;41;48
tb4,optimized,1628.62,106.56,3,397.68,46.88,555.02,0,4;17;c2;23;5;21;42;c2;24;1;c1;25;19;35;3;8;12;47;10
