robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,805.10,53.30,1,175.68,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,threshold,439.23,48.63,0,124.93,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,1096.71,53.21,1,246.80,199.10,354.73,0,15;19;25;28;3;6;c1;26;8
tb4,threshold,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,1116.60,50.31,1,162.95,234.89,367.03,0,32;10;9;33;c2;37;2
tb6,threshold,510.57,54.05,0,108.37,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,813.42,53.30,1,120.59,0.00,326.48,0,38;36;23;29;c2;45;44;1
tb1,feasibility,805.10,53.30,1,175.68,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,feasibility,439.23,48.63,0,124.93,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,1096.71,53.21,1,246.80,199.10,354.73,0,15;19;25;28;3;6;c1;26;8
tb4,feasibility,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,1116.60,50.31,1,162.95,234.89,367.03,0,32;10;9;33;c2;37;2
tb6,feasibility,510.57,54.05,0,108.37,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,813.42,53.30,1,120.59,0.00,326.48,0,38;36;23;29;c2;45;44;1
tb1,optimized,1134.61,76.55,3,279.07,0.00,396.10,0,45;4;19;c1;30;2;c2;43;14;c2;10;42;48;47;50
tb2,optimized,460.37,50.72,0,127.44,0.00,0.00,0,20;39;23;12;13;41;36;38
tb3,optimized,322.30,24.44,1,129.60,0.00,80.03,0,28;c1;7;6;16
tb4,optimized,493.65,51.74,0,149.16,0.00,0.00,0,27;11;21;8;15;25;40
tb5,optimized,1105.07,67.79,3,340.57,12.08,355.29,0,35;c2;49;c2;3;31;17;c1;26;37;5;18
tb6,optimized,453.64,47.49,0,107.60,0.00,0.00,0,1;34;44;46;29
tb7,optimized,921.34,59.60,1,169.88,49.39,277.14,0,22;24;c1;32;33;9
