robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1198.70,86.46,1,230.86,0.00,361.32,2,13;39;50;33;c2;21;42;1;37;20;25;34
tb2,threshold,776.47,83.92,0,174.07,0.00,0.00,10,18;40;6;22;48;43;31;26;5;30;16;2;9
tb3,threshold,1192.59,87.14,1,128.54,0.00,393.57,3,44;46;14;41;3;27;c1;32;36;12;4;49;28
tb4,threshold,1633.70,92.31,1,260.61,233.65,528.95,0,47;24;10;35;19;11;23;45;c2;17;7;29;38;8;15
tb1,feasibility,1198.70,86.46,1,230.86,0.00,361.32,2,13;39;50;33;c2;21;42;1;37;20;25;34
tb2,feasibility,776.47,83.92,0,174.07,0.00,0.00,10,18;40;6;22;48;43;31;26;5;30;16;2;9
tb3,feasibility,1519.69,87.45,2,132.27,0.00,716.95,0,44;46;14;41;3;27;c1;32;36;12;4;c1;49;28
tb4,feasibility,1625.49,89.87,1,227.67,217.02,570.30,0,47;24;10;35;19;11;23;45;17;c2;7;29;38;8;15
tb1,optimized,1600.13,95.52,3,401.88,11.49,580.19,0,15;7;41;29;c1;8;20;39;c1;4;c2;33;27;47;5;14
tb2,optimized,1724.95,105.35,3,257.52,102.83,621.85,0,9;21;c1;18;49;34;17;45;c2;24;c1;2;40;22;38;31
tb3,optimized,1142.15,76.49,2,294.29,29.20,382.56,0,11;42;6;c2;13;12;50;1;c1;23;35;30;44
tb4,optimized,1715.61,107.42,2,321.23,129.62,560.29,0,46;43;37;36;c2;10;19;25;c1;28;32;3;16;26;48
