robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1611.46,89.73,2,276.82,202.29,553.73,0,30;39;7;28;c3;43;11;46;26;c3;59;33;67;37;15
tb2,threshold,1421.70,85.88,1,305.29,116.88,473.99,0,22;5;54;34;62;31;c3;48;40;10;14;60
tb3,threshold,1658.96,88.11,2,360.31,202.00,584.60,0,55;17;9;45;c1;2;56;61;c1;53;65;63
tb4,threshold,1458.25,88.08,1,234.19,108.68,500.47,0,64;51;41;13;18;44;25;c1;66;68;35;69;8
tb5,threshold,1697.91,86.26,2,355.41,140.23,668.97,0,29;38;12;23;47;19;c2;36;32;21;4;c2;20;52;57
tb6,threshold,1535.97,84.49,1,347.38,170.94,508.95,0,49;16;50;70;3;58;c2;42;1;27;6;24
tb1,feasibility,1653.64,89.18,2,265.86,164.00,645.17,0,30;39;7;28;c3;43;11;46;26;59;c3;33;67;37;15
tb2,feasibility,1563.67,85.64,1,296.06,171.90,570.17,0,22;5;54;34;62;31;48;c2;40;10;14;60
tb3,feasibility,2123.00,87.37,2,364.67,513.08,733.21,0,55;17;9;45;2;c2;56;61;53;65;c1;63
tb4,feasibility,1517.66,87.89,1,202.85,105.98,593.91,0,64;51;41;13;18;44;25;66;c1;68;35;69;8
tb5,feasibility,1754.34,86.30,2,290.41,231.66,698.97,0,29;38;12;23;47;19;c1;36;32;21;4;20;c1;52;57
tb6,feasibility,1418.46,84.49,1,336.21,64.61,508.95,0,49;16;50;70;3;58;c3;42;1;27;6;24
tb1,optimized,1276.58,93.38,2,318.89,130.68,244.72,5,66;1;c1;54;c3;33;4;42;53;67;35;60;3
tb2,optimized,1464.28,97.25,2,375.78,28.61,465.04,0,2;34;44;5;11;c2;36;c2;23;48;49;51;9;30
tb3,optimized,1396.90,79.06,2,437.94,0.00,565.46,0,20;6;47;70;17;c1;57;26;15;10;c2;40;45;13
tb4,optimized,1499.55,93.96,2,305.49,113.23,479.54,0,61;c3;50;25;55;62;c1;29;28;18;56;12;38;69
tb5,optimized,1481.74,88.88,2,379.59,0.00,585.26,0,21;63;52;c3;16;58;68;27;7;c3;39;24;8;65
tb6,optimized,1694.36,91.49,3,350.63,82.08,677.36,0,43;19;c2;46;37;c3;32;41;31;22;c1;14;59;64
