robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,2317.26,101.91,3,388.82,433.53,871.01,0,63;3;49;24;c1;12;7;21;8;30;6;c2;60;16;23;38;68;c2;50
tb2,threshold,1751.78,99.99,1,291.19,321.66,486.88,0,26;37;40;17;2;29;25;69;c1;61;27;1;65;11;62;52
tb3,threshold,2077.02,102.95,3,379.73,292.64,797.18,0,36;53;10;19;c1;46;28;41;33;c2;32;20;15;13;c2;70;64
tb4,threshold,1520.72,102.15,1,245.04,90.83,498.72,0,47;57;4;34;18;56;14;48;c2;22;59;67;45;54;66;35
tb5,threshold,2258.31,94.78,3,261.67,480.13,812.96,0,55;5;58;9;c2;44;42;c1;31;43;51;c1;39
tb1,feasibility,2201.18,93.01,2,245.11,554.85,777.32,0,63;3;49;24;12;7;c2;21;8;30;6;60;16;23;38;c1;68;50
tb2,feasibility,1728.58,99.99,1,293.09,296.57,486.88,0,26;37;40;17;2;29;25;69;c2;61;27;1;65;11;62;52
tb3,feasibility,2187.32,98.80,2,329.41,497.03,753.41,0,36;53;10;19;46;28;c1;41;33;32;20;15;c2;13;70;64
tb4,feasibility,2115.65,102.81,1,252.96,634.53,542.02,0,47;57;4;34;18;56;14;48;22;c1;59;67;45;54;66;35
tb5,feasibility,1796.17,94.98,2,232.25,132.17,728.19,0,55;5;58;9;44;c1;42;31;43;c2;51;39
tb1,optimized,1920.66,84.57,3,320.73,549.15,563.95,0,13;52;c2;5;19;1;2;37;4;c1;11;20;c1;51;63;67;23
tb2,optimized,2030.32,117.26,2,418.36,186.17,680.90,0,3;43;66;c1;36;22;45;32;c1;15;58;61;40;70;24
tb3,optimized,2111.16,114.79,3,502.99,338.95,612.64,2,7;44;c1;14;16;54;c1;49;10;28;c2;42;33;68;30;60;46
tb4,optimized,1817.70,108.36,2,319.76,131.65,637.77,0,26;59;41;12;17;21;c2;31;55;56;c2;57;39;8;48;69
tb5,optimized,2221.36,114.91,3,517.09,286.49,761.50,0,50;18;25;6;c2;38;47;64;9;c2;27;29;34;c2;65;62;53;35
