robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1682.34,86.16,2,249.37,200.17,627.18,0,36;45;35;42;5;c2;44;46;4;27;c2;13;16;15;29
tb2,threshold,1492.43,86.36,1,259.64,149.23,503.04,0,2;11;14;7;6;22;41;34;c2;37;26;23;8;17
tb3,threshold,1618.12,87.48,2,181.87,190.60,605.36,0,21;43;20;32;c1;33;49;30;c1;31;48;19;1
tb4,threshold,1425.52,86.89,1,210.60,152.21,471.89,0,10;9;39;3;47;25;24;c1;28;40;38;12;18;50
tb1,feasibility,1156.30,86.13,1,215.94,0.00,334.75,4,36;45;35;42;5;c2;44;46;4;27;13;16;15;29
tb2,feasibility,1485.89,83.84,1,205.61,119.16,580.61,0,2;11;14;7;6;22;41;34;37;c2;26;23;8;17
tb3,feasibility,1712.88,89.99,2,212.34,180.39,679.85,0,21;43;20;32;c1;33;49;30;31;c1;48;19;1
tb4,feasibility,1444.97,87.00,1,212.01,98.08,544.05,0,10;9;39;3;47;25;24;28;c1;40;38;12;18;50
tb1,optimized,1609.25,90.40,4,246.25,159.36,567.86,0,50;c1;46;c1;32;36;c1;30;43;c1;40;22;15;16
tb2,optimized,1651.57,105.75,3,337.96,93.55,540.55,0,20;39;9;c1;33;c1;29;49;c1;34;26;45;7;38;31
tb3,optimized,1288.84,79.12,2,317.30,62.12,463.46,0,18;13;14;11;37;c2;6;2;44;c2;28;27;41;48
tb4,optimized,1724.77,111.76,3,453.59,41.08,574.13,0,4;17;c2;23;5;21;42;c2;24;1;c2;25;19;35;3;8;12;47;10
