robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1612.16,89.80,2,277.25,201.56,554.40,0,30;39;7;28;c3;43;11;46;26;c3;59;33;67;37;15
tb2,threshold,1422.41,85.81,1,304.39,119.20,473.26,0,22;5;54;34;62;31;c3;48;40;10;14;60
tb3,threshold,1655.66,87.83,2,357.50,204.83,581.80,0,55;17;9;45;c1;2;56;61;c1;53;65;63
tb4,threshold,1457.50,88.13,1,234.19,107.27,500.65,0,64;51;41;13;18;44;25;c1;66;68;35;69;8
tb5,threshold,1696.95,86.28,2,355.41,138.87,669.16,0,29;38;12;23;47;19;c2;36;32;21;4;c2;20;52;57
tb6,threshold,1534.81,84.37,1,345.54,172.40,507.80,0,49;16;50;70;3;58;c2;42;1;27;6;24
tb1,feasibility,1653.91,89.24,2,266.29,162.84,645.83,0,30;39;7;28;c3;43;11;46;26;59;c3;33;67;37;15
tb2,feasibility,1556.75,85.56,1,295.16,166.58,569.44,0,22;5;54;34;62;31;48;c2;40;10;14;60
tb3,feasibility,2123.49,87.27,2,360.06,519.68,732.22,0,55;17;9;45;2;c2;56;61;53;65;c1;63
tb4,feasibility,1518.13,87.93,1,202.85,105.70,594.17,0,64;51;41;13;18;44;25;66;c1;68;35;69;8
tb5,feasibility,1754.79,86.32,2,290.41,231.72,699.16,0,29;38;12;23;47;19;c1;36;32;21;4;20;c1;52;57
tb6,feasibility,1418.72,84.37,1,334.37,67.48,507.80,0,49;16;50;70;3;58;c3;42;1;27;6;24
tb1,optimized,1276.10,93.28,2,317.64,131.09,244.99,5,66;1;c1;54;c3;33;4;42;53;67;35;60;3
tb2,optimized,1463.27,97.16,2,375.09,29.15,464.34,0,2;34;44;5;11;c2;36;c2;23;48;49;51;9;30
tb3,optimized,1397.78,79.01,2,439.38,0.00,564.86,0,20;6;47;70;17;c1;57;26;15;10;c2;40;45;13
tb4,optimized,1732.70,94.06,3,306.47,113.02,711.70,0,61;c3;50;25;55;62;c1;29;28;18;56;c2;12;38;69
tb5,optimized,1483.82,89.00,2,380.51,0.00,585.68,0,21;63;52;c3;16;58;68;27;7;c3;39;24;8;65
tb6,optimized,1695.33,91.49,3,350.64,83.07,677.34,0,43;19;c2;46;37;c3;32;41;31;22;c1;14;59;64
