robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1142.12,84.59,1,201.92,0.00,351.02,2,13;39;50;33;c1;21;42;1;37;20;25;34
tb2,threshold,1839.01,83.81,1,196.83,490.03,570.95,0,18;40;6;22;48;43;31;26;c2;5;30;16;2;9
tb3,threshold,1525.25,86.17,1,128.28,348.75,387.62,3,44;46;14;41;3;27;c1;32;36;12;4;49;28
tb4,threshold,1358.74,89.01,1,243.16,0.00,528.14,0,47;24;10;35;19;11;23;45;c2;17;7;29;38;8;15
tb1,feasibility,1142.12,84.59,1,201.92,0.00,351.02,2,13;39;50;33;c1;21;42;1;37;20;25;34
tb2,feasibility,1899.66,83.81,1,196.83,550.68,570.95,0,18;40;6;22;48;43;31;26;c2;5;30;16;2;9
tb3,feasibility,1848.64,86.48,2,132.00,348.75,707.29,0,44;46;14;41;3;27;c1;32;36;12;4;c1;49;28
tb4,feasibility,1376.79,87.36,1,223.19,0.00,566.17,0,47;24;10;35;19;11;23;45;17;c2;7;29;38;8;15
tb1,optimized,1514.37,90.72,3,383.62,28.10,531.82,0,15;7;41;29;c1;8;20;39;c1;4;c2;33;27;47;5;14
tb2,optimized,1719.36,105.18,3,277.00,78.70,642.85,0,9;21;c1;18;49;34;17;45;c2;24;c1;2;40;22;38;31
tb3,optimized,1102.89,74.64,2,283.39,26.98,366.56,0,11;42;6;c2;13;12;50;1;c1;23;35;30;44
tb4,optimized,1634.76,106.71,2,316.76,60.66,556.54,0,46;43;37;36;c2;10;19;25;c1;28;32;3;16;26;48
