robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,805.23,53.31,1,175.81,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,threshold,440.11,48.70,0,126.38,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,880.08,53.29,1,228.48,0.00,355.51,0,15;19;25;28;3;6;c3;26;8
tb4,threshold,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,1070.25,50.36,1,140.80,211.85,366.22,0,32;10;9;33;c1;37;2
tb6,threshold,508.75,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,812.92,53.27,1,120.59,0.00,326.23,0,38;36;23;29;c2;45;44;1
tb1,feasibility,805.23,53.31,1,175.81,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,feasibility,440.11,48.70,0,126.38,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,880.08,53.29,1,228.48,0.00,355.51,0,15;19;25;28;3;6;c3;26;8
tb4,feasibility,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,1070.25,50.36,1,140.80,211.85,366.22,0,32;10;9;33;c1;37;2
tb6,feasibility,508.75,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,812.92,53.27,1,120.59,0.00,326.23,0,38;36;23;29;c2;45;44;1
tb1,optimized,805.23,53.31,1,175.81,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,optimized,440.11,48.70,0,126.38,0.00,0.00,0,30;50;31;13;41;35;27
tb3,optimized,876.09,53.29,1,224.50,0.00,355.51,0,15;19;25;28;3;6;c2;26;8
tb4,optimized,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,optimized,1070.25,50.36,1,140.80,211.85,366.22,0,32;10;9;33;c1;37;2
tb6,optimized,508.75,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,optimized,885.12,52.57,1,112.04,0.00,406.98,0,38;36;23;29;45;c3;44;1
