robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,957.33,61.36,1,179.87,0.00,390.54,0,43;10;44;50;13;38;c3;41;29;18
tb2,threshold,543.99,57.03,0,125.52,0.00,0.00,0,34;32;39;16;48;40
tb3,threshold,569.23,62.07,0,117.59,0.00,0.00,9,15;35;47;21;46;8;26;6;23
tb4,threshold,477.08,50.55,0,132.74,0.00,0.00,0,25;49;19;37;22;14;7
tb5,threshold,1090.41,55.52,1,151.73,0.00,531.19,0,11;2;9;24;30;1;33;5;c2;20
tb6,threshold,1104.70,61.49,1,152.72,0.00,545.07,0,17;12;27;28;42;31;36;45;4;c1;3
tb1,feasibility,957.33,61.36,1,179.87,0.00,390.54,0,43;10;44;50;13;38;c3;41;29;18
tb2,feasibility,543.99,57.03,0,125.52,0.00,0.00,0,34;32;39;16;48;40
tb3,feasibility,862.38,62.88,1,127.49,0.00,283.24,0,15;35;47;21;c1;46;8;26;6;23
tb4,feasibility,477.08,50.55,0,132.74,0.00,0.00,0,25;49;19;37;22;14;7
tb5,feasibility,525.88,55.52,0,118.40,0.00,0.00,0,11;2;9;24;30;1;33;5;20
tb6,feasibility,1137.62,61.49,1,185.65,0.00,545.07,0,17;12;27;28;42;31;36;45;4;c2;3
tb1,optimized,320.00,34.04,0,123.46,0.00,0.00,0,50;15;6;49;28
tb2,optimized,357.61,38.21,0,116.31,0.00,0.00,0,42;29;35;30;19
tb3,optimized,998.31,61.13,3,149.51,0.00,396.32,0,47;4;24;c1;46;c2;31;c1;44;13;45
tb4,optimized,1240.56,77.00,2,231.21,0.00,494.25,0,8;12;c3;1;25;10;32;43;c3;37;16;18;9;39
tb5,optimized,1257.81,72.26,3,190.09,0.00,569.01,0,33;34;17;c3;38;41;c2;48;27;c1;36;23
tb6,optimized,1130.11,83.36,2,312.34,0.00,306.14,0,11;26;c2;7;14;20;c1;40;22;2;5;3;21
