robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,805.02,53.29,1,175.60,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,threshold,440.00,48.69,0,126.36,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,1097.46,53.29,1,247.58,198.29,355.51,0,15;19;25;28;3;6;c1;26;8
tb4,threshold,485.90,51.33,0,127.21,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,1116.88,50.36,1,164.15,235.26,366.22,0,32;10;9;33;c2;37;2
tb6,threshold,508.74,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,812.92,53.27,1,120.59,0.00,326.23,0,38;36;23;29;c2;45;44;1
tb1,feasibility,805.02,53.29,1,175.60,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,feasibility,440.00,48.69,0,126.36,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,1097.46,53.29,1,247.58,198.29,355.51,0,15;19;25;28;3;6;c1;26;8
tb4,feasibility,485.90,51.33,0,127.21,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,1116.88,50.36,1,164.15,235.26,366.22,0,32;10;9;33;c2;37;2
tb6,feasibility,508.74,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,812.92,53.27,1,120.59,0.00,326.23,0,38;36;23;29;c2;45;44;1
tb1,optimized,1151.80,76.81,3,293.81,0.00,398.15,0,45;4;19;c1;30;2;c2;43;14;c2;10;42;48;47;50
tb2,optimized,460.09,50.69,0,128.07,0.00,0.00,0,20;39;23;12;13;41;36;38
tb3,optimized,320.45,24.28,1,128.33,0.00,80.03,0,28;c1;7;6;16
tb4,optimized,493.65,51.74,0,149.16,0.00,0.00,0,27;11;21;8;15;25;40
tb5,optimized,1105.88,67.87,3,342.21,10.52,356.03,0,35;c2;49;c2;3;31;17;c1;26;37;5;18
tb6,optimized,453.55,47.48,0,107.60,0.00,0.00,0,1;34;44;46;29
tb7,optimized,920.47,59.52,1,169.88,49.39,277.14,0,22;24;c1;32;33;9
