robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1970.97,89.47,2,269.40,572.41,550.54,0,30;39;7;28;c1;43;11;46;26;c1;59;33;67;37;15
tb2,threshold,1470.91,85.88,1,318.61,152.83,473.94,0,22;5;54;34;62;31;c2;48;40;10;14;60
tb3,threshold,2179.34,91.24,2,399.32,683.19,584.68,0,55;17;9;45;c2;2;56;61;c2;53;65;63
tb4,threshold,1764.08,88.08,1,234.19,414.50,500.47,0,64;51;41;13;18;44;25;c1;66;68;35;69;8
tb5,threshold,2172.74,86.26,2,290.02,680.45,668.97,0,29;38;12;23;47;19;c1;36;32;21;4;c1;20;52;57
tb6,threshold,1941.66,84.49,1,347.38,576.64,508.95,0,49;16;50;70;3;58;c2;42;1;27;6;24
tb1,feasibility,2104.23,91.37,2,292.46,591.18,641.98,0,30;39;7;28;c1;43;11;46;26;59;c1;33;67;37;15
tb2,feasibility,2035.99,85.63,1,296.00,644.33,570.12,0,22;5;54;34;62;31;48;c2;40;10;14;60
tb3,feasibility,2380.43,87.39,2,332.54,802.35,733.38,0,55;17;9;45;2;c1;56;61;53;65;c1;63
tb4,feasibility,1782.44,87.89,1,202.85,370.76,593.91,0,64;51;41;13;18;44;25;66;c1;68;35;69;8
tb5,feasibility,2271.97,86.30,2,349.25,690.44,698.97,0,29;38;12;23;47;19;c2;36;32;21;4;20;c2;52;57
tb6,feasibility,1535.97,84.49,1,347.38,170.94,508.95,0,49;16;50;70;3;58;c2;42;1;27;6;24
tb1,optimized,1533.07,93.38,2,352.64,353.44,244.72,5,66;1;c2;54;c1;33;4;42;53;67;35;60;3
tb2,optimized,1905.60,98.05,2,370.10,480.10,460.45,0,2;34;44;5;11;c2;36;c2;23;48;49;51;9;30
tb3,optimized,1757.78,79.06,2,408.84,389.98,565.46,0,20;6;47;70;17;c1;57;26;15;10;c1;40;45;13
tb4,optimized,1749.78,95.24,2,330.66,342.08,475.74,0,61;c1;50;25;55;62;c2;29;28;18;56;12;38;69
tb5,optimized,1636.53,88.88,2,378.04,156.34,585.26,0,21;63;52;c2;16;58;68;27;7;c1;39;24;8;65
tb6,optimized,2002.80,93.49,3,330.45,410.70,677.36,0,43;19;c1;46;37;c1;32;41;31;22;c2;14;59;64
