robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1592.80,93.25,2,259.06,50.49,658.83,0,63;3;49;24;12;c2;7;21;8;30;6;60;16;c2;23;38;68;50
tb2,threshold,1496.30,99.23,1,282.48,76.75,485.45,0,26;37;40;17;2;29;25;69;c3;61;27;1;65;11;62;52
tb3,threshold,1787.08,102.97,3,382.26,0.00,797.34,0,36;53;10;19;c1;46;28;41;33;c2;32;20;15;13;c3;70;64
tb4,threshold,1474.89,102.16,1,267.44,22.66,498.67,0,47;57;4;34;18;56;14;48;c1;22;59;67;45;54;66;35
tb5,threshold,1967.96,94.78,3,225.47,225.94,812.78,0,55;5;58;9;c3;44;42;c1;31;43;51;c2;39
tb1,feasibility,1753.83,92.89,2,243.09,110.19,776.14,0,63;3;49;24;12;7;c2;21;8;30;6;60;16;23;38;c1;68;50
tb2,feasibility,1698.90,99.23,1,283.36,278.47,485.45,0,26;37;40;17;2;29;25;69;c1;61;27;1;65;11;62;52
tb3,feasibility,1307.62,97.16,1,309.52,0.00,390.63,4,36;53;10;19;46;28;c3;41;33;32;20;15;13;70;64
tb4,feasibility,1740.07,102.38,1,247.75,264.23,541.97,0,47;57;4;34;18;56;14;48;22;c3;59;67;45;54;66;35
tb5,feasibility,1663.96,94.98,2,232.18,0.00,728.02,0,55;5;58;9;44;c1;42;31;43;c2;51;39
tb1,optimized,1593.23,84.36,3,380.09,164.98,561.86,0,13;52;c2;5;19;1;2;37;4;c2;11;20;c2;51;63;67;23
tb2,optimized,1855.83,117.14,2,431.24,0.00,679.65,0,3;43;66;c2;36;22;45;32;c3;15;58;61;40;70;24
tb3,optimized,2069.06,116.07,4,490.49,0.00,921.70,0,7;44;c1;14;16;54;c3;49;10;28;c1;42;33;68;c1;30;60;46
tb4,optimized,2032.97,109.22,3,309.90,14.38,979.79,0,26;59;41;12;17;21;c1;31;55;56;c2;57;39;8;48;c2;69
tb5,optimized,1888.61,114.92,3,457.98,12.64,761.60,0,50;18;25;6;c3;38;47;64;9;c1;27;29;34;c1;65;62;53;35
