robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,2131.46,107.02,3,415.72,169.37,907.35,0,35;17;44;c1;36;23;14;22;38;c1;50;43;21;c1;49;20
tb2,threshold,1423.93,88.20,1,379.82,36.29,504.22,0,10;32;5;4;39;6;c1;46;11;13;33;45;47
tb3,threshold,1873.39,88.73,3,395.33,179.59,792.70,0,19;3;24;27;25;c2;48;9;28;c2;34;31;7;c2;41
tb4,threshold,1397.52,83.34,1,367.96,106.67,439.96,0,8;15;42;37;30;2;c2;40;29;26;12;1;18;16
tb1,feasibility,2273.81,105.67,3,399.32,236.00,999.46,0,35;17;44;c1;36;23;14;22;38;c1;50;43;21;49;c1;20
tb2,feasibility,1615.32,89.36,1,370.62,164.87,576.22,0,10;32;5;4;39;6;46;c2;11;13;33;45;47
tb3,feasibility,1844.69,90.26,2,415.65,195.81,727.46,0,19;3;24;27;25;48;c2;9;28;34;31;c2;7;41
tb4,feasibility,1433.88,85.08,1,360.88,19.22,570.86,0,8;15;42;37;30;2;40;29;c1;26;12;1;18;16
tb1,optimized,1953.94,105.10,3,416.84,275.82,622.26,1,35;17;c2;44;36;23;14;c1;22;38;c1;50;43;21;49;20
tb2,optimized,1345.05,86.94,1,373.93,0.00,467.52,0,10;32;5;4;39;c1;6;46;11;13;33;45;47
tb3,optimized,1425.03,93.72,3,469.64,0.00,449.62,1,19;3;c1;24;c1;27;25;48;9;c2;28;34;31;7;41
tb4,optimized,1155.90,82.50,1,362.71,0.00,310.26,0,8;15;42;37;c2;30;2;40;29;26;12;1;18;16
