robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,832.17,90.55,0,194.02,0.00,0.00,15,48;28;20;30;29;15;26;38;47;43;49;24
tb2,threshold,1444.79,95.91,1,227.65,0.00,553.96,0,2;37;16;3;27;50;34;11;12;c3;35;18;46;31;41
tb3,threshold,1590.21,90.68,2,273.71,0.00,724.59,0,40;8;22;14;c2;23;44;21;42;17;c2;1;36;6
tb4,threshold,1397.88,89.45,1,260.91,0.00,530.08,0,39;33;13;7;45;19;25;c1;4;32;9;10;5
tb1,feasibility,1464.72,91.72,2,222.89,0.00,603.68,0,48;28;20;30;c1;29;15;26;38;c2;47;43;49;24
tb2,feasibility,1444.79,95.91,1,227.65,0.00,553.96,0,2;37;16;3;27;50;34;11;12;c3;35;18;46;31;41
tb3,feasibility,1618.86,90.68,2,302.36,0.00,724.59,0,40;8;22;14;c2;23;44;21;42;17;c3;1;36;6
tb4,feasibility,853.48,88.26,0,246.59,0.00,0.00,8,39;33;13;7;45;19;25;4;32;9;10;5
tb1,optimized,1545.88,96.11,3,347.36,0.00,586.08,0,15;7;41;29;c3;8;20;39;c2;4;c1;33;27;47;5;14
tb2,optimized,1656.21,105.59,3,275.88,0.00,637.41,0,9;21;c1;18;49;34;17;45;c3;24;c3;2;40;22;38;31
tb3,optimized,1112.88,76.49,2,294.22,0.00,382.56,0,11;42;6;c2;13;12;50;1;c1;23;35;30;44
tb4,optimized,1586.42,107.50,2,317.47,0.00,560.28,0,46;43;37;36;c2;10;19;25;c1;28;32;3;16;26;48
