robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,554.13,60.31,0,167.08,0.00,0.00,6,43;10;44;50;13;38;41;29;18
tb2,threshold,543.29,56.98,0,124.82,0.00,0.00,0,34;32;39;16;48;40
tb3,threshold,568.69,62.02,0,116.90,0.00,0.00,9,15;35;47;21;46;8;26;6;23
tb4,threshold,477.08,50.55,0,132.74,0.00,0.00,0,25;49;19;37;22;14;7
tb5,threshold,1086.21,55.33,1,149.98,0.00,529.26,0,11;2;9;24;30;1;33;5;c2;20
tb6,threshold,1103.76,61.41,1,151.75,0.00,545.11,0,17;12;27;28;42;31;36;45;4;c1;3
tb1,feasibility,554.13,60.31,0,167.08,0.00,0.00,6,43;10;44;50;13;38;41;29;18
tb2,feasibility,543.29,56.98,0,124.82,0.00,0.00,0,34;32;39;16;48;40
tb3,feasibility,861.26,62.84,1,126.80,0.00,282.67,0,15;35;47;21;c1;46;8;26;6;23
tb4,feasibility,477.08,50.55,0,132.74,0.00,0.00,0,25;49;19;37;22;14;7
tb5,feasibility,523.61,55.33,0,116.65,0.00,0.00,0,11;2;9;24;30;1;33;5;20
tb6,feasibility,1136.68,61.41,1,184.68,0.00,545.11,0,17;12;27;28;42;31;36;45;4;c2;3
tb1,optimized,320.00,34.04,0,123.46,0.00,0.00,0,50;15;6;49;28
tb2,optimized,359.24,38.34,0,117.73,0.00,0.00,0,42;29;35;30;19
tb3,optimized,1200.55,65.88,3,197.80,137.92,412.35,0,47;4;24;c2;46;c1;31;c1;44;13;45
tb4,optimized,1316.35,79.73,2,275.32,13.80,511.97,0,8;12;c2;1;25;10;32;43;c2;37;16;18;9;39
tb5,optimized,1356.97,72.25,3,226.33,63.08,568.93,0,33;34;17;c1;38;41;c1;48;27;c1;36;23
tb6,optimized,1179.17,83.10,2,361.86,0.00,306.20,0,11;26;c1;7;14;20;c2;40;22;2;5;3;21
