robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,541.17,59.42,0,131.20,0.00,0.00,6,41;19;49;37;16;29;45;30;9
tb2,threshold,508.43,53.35,0,183.35,0.00,0.00,0,18;24;27;34;23;17;3;4
tb3,threshold,968.56,61.27,1,121.71,0.00,392.09,0,2;35;32;10;21;c1;44;11;36
tb4,threshold,530.89,57.75,0,133.80,0.00,0.00,0,28;40;48;50;25;26;43
tb5,threshold,502.11,53.59,0,129.19,0.00,0.00,0,33;39;7;14;13;38;6;22
tb6,threshold,521.46,56.54,0,146.67,0.00,0.00,0,31;1;20;42;46;8;15;12;5;47
tb1,feasibility,541.17,59.42,0,131.20,0.00,0.00,6,41;19;49;37;16;29;45;30;9
tb2,feasibility,508.43,53.35,0,183.35,0.00,0.00,0,18;24;27;34;23;17;3;4
tb3,feasibility,968.56,61.27,1,121.71,0.00,392.09,0,2;35;32;10;21;c1;44;11;36
tb4,feasibility,530.89,57.75,0,133.80,0.00,0.00,0,28;40;48;50;25;26;43
tb5,feasibility,502.11,53.59,0,129.19,0.00,0.00,0,33;39;7;14;13;38;6;22
tb6,feasibility,521.46,56.54,0,146.67,0.00,0.00,0,31;1;20;42;46;8;15;12;5;47
tb1,optimized,537.15,58.06,0,139.66,0.00,0.00,2,14;12;30;9;42;7;16;18;46;21
tb2,optimized,519.94,55.40,0,113.58,0.00,0.00,0,5;32;49;40;3;35;19;10
tb3,optimized,524.61,56.84,0,137.04,0.00,0.00,3,47;11;43;24;34;27;13;26
tb4,optimized,507.14,54.91,0,137.52,0.00,0.00,0,8;45;17;15;50;36;48;44
tb5,optimized,493.50,54.48,0,115.69,0.00,0.00,0,23;38;6;22;41;2;39;29
tb6,optimized,545.96,57.92,0,150.21,0.00,0.00,0,1;37;4;28;25;33;31;20
