robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,optimized,1592.25,86.67,3,304.50,107.73,648.39,0,12;5;18;45;c2;29;8;25;c1;24;9;c1;49;13;23
tb2,optimized,1657.60,97.23,3,314.24,180.96,545.50,0,10;40;c2;38;44;47;c2;11;19;30;c1;42;39;46;34
tb3,optimized,1663.62,97.68,3,367.95,59.44,638.21,0,22;7;48;16;c1;3;31;c2;33;41;c2;28;4;27;35;14
tb4,optimized,1612.79,101.34,3,425.16,78.06,521.31,0,36;43;c1;15;2;20;21;c1;37;1;c2;17;32;6;50;26
tb1,threshold,1518.02,86.77,2,218.58,120.70,603.16,0,31;16;42;15;45;c2;34;25;37;12;c2;18;43;28;40
tb2,threshold,1309.21,82.29,1,229.60,97.09,447.17,0,2;50;44;11;8;14;6;48;c2;39;36;41;20;47;1
tb3,threshold,1604.88,85.44,2,205.31,148.86,653.02,0,3;35;10;32;27;c1;46;13;19;9;24;c1;30;4;17
tb4,threshold,1429.74,83.92,1,193.95,133.43,476.16,0,21;5;33;23;26;7;c1;29;22;38;49
tb1,feasibility,1785.63,85.61,2,204.51,253.42,752.12,0,31;16;42;15;45;34;c1;25;37;12;18;43;28;c1;40
tb2,feasibility,1292.67,82.71,1,222.61,0.00,534.70,0,2;50;44;11;8;14;6;48;39;c2;36;41;20;47;1
tb3,feasibility,1516.60,85.44,2,205.31,60.58,653.02,0,3;35;10;32;27;c1;46;13;19;9;24;c1;30;4;17
tb4,feasibility,1848.72,84.31,1,166.51,487.02,568.99,0,21;5;33;23;26;7;29;c2;22;38;49
