robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1564.81,88.75,2,229.96,131.96,616.09,0,31;16;42;15;45;c2;34;25;37;12;c2;18;43;28;40
tb2,threshold,1361.46,86.18,1,239.78,85.73,468.65,0,2;50;44;11;8;14;6;48;c2;39;36;41;20;47;1
tb3,threshold,1680.83,90.65,2,247.71,229.25,588.10,0,3;35;10;32;27;c1;46;13;19;9;c1;24;30;4;17
tb4,threshold,1486.35,86.62,1,202.55,146.92,489.54,0,21;5;33;23;26;7;c1;29;22;38;49
tb1,feasibility,763.14,84.33,0,176.34,0.00,0.00,14,31;16;42;15;45;34;25;37;12;18;43;28;40
tb2,feasibility,1365.30,86.92,1,236.77,0.00,561.21,0,2;50;44;11;8;14;6;48;39;c2;36;41;20;47;1
tb3,feasibility,1517.49,88.38,2,220.26,0.00,681.46,0,3;35;10;32;27;c1;46;13;19;9;24;c1;30;4;17
tb4,feasibility,1933.16,87.02,1,175.32,527.78,582.70,0,21;5;33;23;26;7;29;c2;22;38;49
tb1,optimized,1609.24,90.41,4,246.25,159.37,567.85,0,50;c1;46;c1;32;36;c1;30;43;c1;40;22;15;16
tb2,optimized,1651.55,105.75,3,337.96,93.53,540.55,0,20;39;9;c1;33;c1;29;49;c1;34;26;45;7;38;31
tb3,optimized,1288.89,79.13,2,317.34,62.07,463.50,0,18;13;14;11;37;c2;6;2;44;c2;28;27;41;48
tb4,optimized,1724.77,111.76,3,453.59,41.08,574.13,0,4;17;c2;23;5;21;42;c2;24;1;c2;25;19;35;3;8;12;47;10
