robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,484.94,51.94,0,136.77,0.00,0.00,3,44;19;23;45;17;29;26
tb2,threshold,422.12,44.37,0,149.65,0.00,0.00,0,12;42;31;4;10;24;6
tb3,threshold,856.14,49.22,1,111.10,0.00,394.28,0,14;38;13;48;11;8;5;c1;21
tb4,threshold,440.89,49.18,0,131.85,0.00,0.00,0,16;15;41;3;2;35;39;18;20;27
tb5,threshold,418.56,45.88,0,98.97,0.00,0.00,0,46;36;43;1;37;47
tb6,threshold,478.21,51.47,0,53.16,0.00,0.00,0,9;32;30;28;40;22
tb7,threshold,502.65,53.21,0,110.10,0.00,0.00,0,7;50;49;25;34;33
tb1,feasibility,827.28,52.46,1,143.10,0.00,336.01,0,44;19;23;45;17;c2;29;26
tb2,feasibility,422.12,44.37,0,149.65,0.00,0.00,0,12;42;31;4;10;24;6
tb3,feasibility,856.14,49.22,1,111.10,0.00,394.28,0,14;38;13;48;11;8;5;c1;21
tb4,feasibility,440.89,49.18,0,131.85,0.00,0.00,0,16;15;41;3;2;35;39;18;20;27
tb5,feasibility,418.56,45.88,0,98.97,0.00,0.00,0,46;36;43;1;37;47
tb6,feasibility,478.21,51.47,0,53.16,0.00,0.00,0,9;32;30;28;40;22
tb7,feasibility,502.65,53.21,0,110.10,0.00,0.00,0,7;50;49;25;34;33
tb1,optimized,1106.37,76.55,3,250.85,0.00,396.09,0,45;4;19;c1;30;2;c1;43;14;c2;10;42;48;47;50
tb2,optimized,460.37,50.72,0,127.44,0.00,0.00,0,20;39;23;12;13;41;36;38
tb3,optimized,322.30,24.44,1,129.60,0.00,80.03,0,28;c1;7;6;16
tb4,optimized,493.65,51.74,0,149.16,0.00,0.00,0,27;11;21;8;15;25;40
tb5,optimized,1061.48,67.79,3,309.07,0.00,355.29,0,35;c3;49;c3;3;31;17;c3;26;37;5;18
tb6,optimized,453.64,47.49,0,107.60,0.00,0.00,0,1;34;44;46;29
tb7,optimized,902.04,59.60,1,199.97,0.00,277.14,0,22;24;c2;32;33;9
