robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1731.29,93.57,2,353.51,129.18,651.12,0,49;34;28;18;c1;11;10;38;30;25;c1;43;31;19
tb2,threshold,1542.44,93.41,1,355.12,147.98,471.15,0,22;44;46;2;26;48;14;c2;42;4;8;41;27
tb3,threshold,1633.03,88.49,2,390.41,120.44,621.09,0,29;1;37;32;c2;12;20;15;45;17;3;c2;39;7;21
tb4,threshold,1565.45,93.85,1,464.54,149.73,488.98,0,5;6;24;35;40;50;9;c1;36;47;33;16;13;23
tb1,feasibility,1780.35,95.45,2,376.36,148.07,658.45,0,49;34;28;18;11;c2;10;38;30;25;c1;43;31;19
tb2,feasibility,1690.17,93.41,1,379.52,271.31,471.15,0,22;44;46;2;26;48;14;c1;42;4;8;41;27
tb3,feasibility,1709.62,84.94,2,329.71,145.24,733.59,0,29;1;37;32;12;20;c1;15;45;17;3;39;c2;7;21
tb4,feasibility,1695.36,93.85,1,496.16,248.02,488.98,0,5;6;24;35;40;50;9;c2;36;47;33;16;13;23
tb1,optimized,1693.32,95.81,4,351.66,100.82,643.36,0,49;c1;34;28;c1;18;11;10;38;30;c2;25;c2;43;31;19
tb2,optimized,1745.18,95.12,4,375.81,47.15,754.03,0,22;44;c1;46;c2;2;26;48;14;42;c1;4;8;c2;41;27
tb3,optimized,1671.31,88.48,3,414.20,240.58,515.45,0,29;1;c2;37;32;12;c2;20;15;45;c2;17;3;39;7;21
tb4,optimized,1782.55,95.11,3,504.76,230.64,584.93,0,5;6;24;c2;35;40;50;c1;9;36;c1;47;33;16;13;23
