robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1972.57,89.53,2,269.83,572.58,551.21,0,30;39;7;28;c1;43;11;46;26;c1;59;33;67;37;15
tb2,threshold,1468.44,85.81,1,317.78,151.83,473.26,0,22;5;54;34;62;31;c2;48;40;10;14;60
tb3,threshold,2173.35,90.96,2,396.15,683.86,581.81,0,55;17;9;45;c2;2;56;61;c2;53;65;63
tb4,threshold,1765.98,88.13,1,234.19,415.74,500.65,0,64;51;41;13;18;44;25;c1;66;68;35;69;8
tb5,threshold,2174.53,86.28,2,290.02,681.85,669.16,0,29;38;12;23;47;19;c1;36;32;21;4;c1;20;52;57
tb6,threshold,1938.01,84.37,1,345.54,575.59,507.80,0,49;16;50;70;3;58;c2;42;1;27;6;24
tb1,feasibility,2104.72,91.44,2,292.89,590.24,642.64,0,30;39;7;28;c1;43;11;46;26;59;c1;33;67;37;15
tb2,feasibility,2034.18,85.56,1,295.16,644.00,569.44,0,22;5;54;34;62;31;48;c2;40;10;14;60
tb3,feasibility,2380.96,87.27,2,331.84,805.36,732.23,0,55;17;9;45;2;c1;56;61;53;65;c1;63
tb4,feasibility,1783.13,87.93,1,202.85,370.71,594.17,0,64;51;41;13;18;44;25;66;c1;68;35;69;8
tb5,feasibility,2270.32,86.32,2,351.22,686.43,699.16,0,29;38;12;23;47;19;c2;36;32;21;4;20;c2;52;57
tb6,feasibility,1534.81,84.37,1,345.54,172.40,507.80,0,49;16;50;70;3;58;c2;42;1;27;6;24
tb1,optimized,1531.62,93.28,2,351.56,352.69,244.99,5,66;1;c2;54;c1;33;4;42;53;67;35;60;3
tb2,optimized,1905.85,97.97,2,369.41,482.07,459.67,0,2;34;44;5;11;c2;36;c2;23;48;49;51;9;30
tb3,optimized,1757.23,79.01,2,408.12,390.72,564.86,0,20;6;47;70;17;c1;57;26;15;10;c1;40;45;13
tb4,optimized,1750.35,95.27,2,330.91,341.98,475.94,0,61;c1;50;25;55;62;c2;29;28;18;56;12;38;69
tb5,optimized,1637.47,89.00,2,378.70,155.46,585.68,0,21;63;52;c2;16;58;68;27;7;c1;39;24;8;65
tb6,optimized,2003.36,93.49,3,330.65,411.09,677.34,0,43;19;c1;46;37;c1;32;41;31;22;c2;14;59;64
