robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1353.48,71.01,1,191.02,295.13,385.64,0,41;36;22;8;17;c2;4;49;23;48
tb2,threshold,1722.20,70.34,1,230.67,489.33,537.84,0,13;29;35;28;24;34;c2;18;30;1
tb3,threshold,1008.28,71.01,1,197.34,0.00,341.94,0,44;39;42;37;c2;12;27;33;11;15;2
tb4,threshold,1223.26,74.85,1,213.21,0.00,524.83,0,32;25;16;38;31;43;20;9;c1;10;19;47;5
tb5,threshold,1750.41,76.04,1,200.83,489.50,542.94,0,3;21;50;40;45;46;c1;14;7;26;6
tb1,feasibility,1353.48,71.01,1,191.02,295.13,385.64,0,41;36;22;8;17;c2;4;49;23;48
tb2,feasibility,1798.16,70.57,1,209.99,538.64,585.17,0,13;29;35;28;24;34;18;c1;30;1
tb3,feasibility,1008.28,71.01,1,197.34,0.00,341.94,0,44;39;42;37;c2;12;27;33;11;15;2
tb4,feasibility,1252.51,73.91,1,201.81,0.00,565.48,0,32;25;16;38;31;43;20;9;10;c1;19;47;5
tb5,feasibility,1770.34,74.27,1,179.36,503.71,570.12,0,3;21;50;40;45;46;14;c2;7;26;6
tb1,optimized,1511.25,85.45,5,342.76,5.17,635.88,0,2;19;c1;34;5;30;c2;10;50;c2;31;c1;44;c1;4;40
tb2,optimized,473.08,49.99,0,129.20,0.00,0.00,0,27;33;25;21;28;15
tb3,optimized,1507.87,84.59,4,350.08,0.00,645.25,0,6;8;c2;43;1;11;c1;20;36;c2;32;49;c2;37;12
tb4,optimized,1501.16,101.44,2,399.06,0.00,467.35,0,26;14;c1;24;46;7;c1;41;13;38;3;22;23;48
tb5,optimized,1000.11,68.35,2,244.94,40.60,315.80,0,29;45;c2;47;18;c1;39;16;17;42;9;35
