robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1162.17,85.58,1,207.32,0.00,356.73,2,13;39;50;33;c3;21;42;1;37;20;25;34
tb2,threshold,1524.27,83.91,1,201.87,168.42,571.91,0,18;40;6;22;48;43;31;26;c3;5;30;16;2;9
tb3,threshold,1183.39,86.71,1,128.73,0.00,388.81,3,44;46;14;41;3;27;c1;32;36;12;4;49;28
tb4,threshold,1383.04,90.33,1,244.29,0.00,530.16,0,47;24;10;35;19;11;23;45;c2;17;7;29;38;8;15
tb1,feasibility,1162.17,85.58,1,207.32,0.00,356.73,2,13;39;50;33;c3;21;42;1;37;20;25;34
tb2,feasibility,1524.27,83.91,1,201.87,168.42,571.91,0,18;40;6;22;48;43;31;26;c3;5;30;16;2;9
tb3,feasibility,1510.59,87.01,2,132.46,0.00,712.28,0,44;46;14;41;3;27;c1;32;36;12;4;c1;49;28
tb4,feasibility,1399.79,89.34,1,222.98,0.00,568.21,0,47;24;10;35;19;11;23;45;17;c2;7;29;38;8;15
tb1,optimized,1493.90,93.06,3,343.82,0.00,555.25,0,15;7;41;29;c3;8;20;39;c2;4;c3;33;27;47;5;14
tb2,optimized,1619.24,103.90,3,257.21,0.00,637.45,0,9;21;c1;18;49;34;17;45;c3;24;c1;2;40;22;38;31
tb3,optimized,1091.61,75.50,2,286.10,0.00,372.85,0,11;42;6;c2;13;12;50;1;c1;23;35;30;44
tb4,optimized,1574.88,106.70,2,314.71,0.00,557.60,0,46;43;37;36;c2;10;19;25;c1;28;32;3;16;26;48
