robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1613.85,89.73,2,276.82,204.68,553.73,0,30;39;7;28;c3;43;11;46;26;c3;59;33;67;37;15
tb2,threshold,1422.14,85.96,1,306.40,113.94,476.38,0,22;5;54;34;62;31;c3;48;40;10;14;60
tb3,threshold,1655.04,87.80,2,357.34,204.79,581.59,0,55;17;9;45;c1;2;56;61;c1;53;65;63
tb4,threshold,1456.55,88.07,1,234.19,107.14,500.47,0,64;51;41;13;18;44;25;c1;66;68;35;69;8
tb5,threshold,1696.71,86.28,2,355.50,138.69,669.10,0,29;38;12;23;47;19;c2;36;32;21;4;c2;20;52;57
tb6,threshold,1534.72,84.34,1,345.51,173.11,507.41,0,49;16;50;70;3;58;c2;42;1;27;6;24
tb1,feasibility,1652.10,89.18,2,265.86,162.46,645.17,0,30;39;7;28;c3;43;11;46;26;59;c3;33;67;37;15
tb2,feasibility,1557.71,85.71,1,297.17,162.55,572.56,0,22;5;54;34;62;31;48;c2;40;10;14;60
tb3,feasibility,2123.32,87.25,2,360.03,519.96,732.01,0,55;17;9;45;2;c2;56;61;53;65;c1;63
tb4,feasibility,1517.80,87.87,1,202.85,106.28,593.91,0,64;51;41;13;18;44;25;66;c1;68;35;69;8
tb5,feasibility,1754.74,86.31,2,290.48,231.64,699.20,0,29;38;12;23;47;19;c1;36;32;21;4;20;c1;52;57
tb6,feasibility,1416.91,84.34,1,334.34,66.47,507.41,0,49;16;50;70;3;58;c3;42;1;27;6;24
tb1,optimized,1654.25,88.88,5,426.95,0.00,740.90,0,13;52;c2;5;19;1;2;37;4;c3;11;20;c2;51;c3;63;c3;67;23
tb2,optimized,1923.66,118.80,4,470.37,36.83,671.59,0,3;43;c1;66;c2;36;22;45;c1;32;c1;15;58;61;40;70;24
tb3,optimized,2147.44,117.51,7,543.80,33.89,914.23,0,7;44;c3;14;16;c3;54;c1;49;10;28;c1;42;c1;33;c2;68;c1;30;60;46
tb4,optimized,2034.78,109.16,3,327.14,0.00,979.19,0,26;59;41;12;17;21;c1;31;55;56;c3;57;39;8;48;c3;69
tb5,optimized,1994.27,115.97,5,564.51,20.14,752.63,0,50;18;25;6;c2;38;47;c2;64;9;c2;27;29;c2;34;c2;65;62;53;35
tb6,optimized,0.00,0.00,0,0.00,0.00,0.00,0,
