robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,0.00,0.00,0,146.76,0.00,0.00,1,39;48;18;43;40;5;20;16
tb2,threshold,0.00,0.00,0,119.03,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,0.00,0.00,0,169.69,0.00,0.00,1,15;19;25;28;3;6;26;8
tb4,threshold,0.00,0.00,0,109.85,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,0.00,0.00,0,94.90,0.00,0.00,1,32;10;9;33;37;2
tb6,threshold,0.00,0.00,0,99.18,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,0.00,0.00,0,99.32,0.00,0.00,1,38;36;23;29;45;44;1
tb1,feasibility,0.00,0.00,0,146.76,0.00,0.00,1,39;48;18;43;40;5;20;16
tb2,feasibility,0.00,0.00,0,119.03,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,0.00,0.00,0,169.69,0.00,0.00,1,15;19;25;28;3;6;26;8
tb4,feasibility,0.00,0.00,0,109.85,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,0.00,0.00,0,94.90,0.00,0.00,1,32;10;9;33;37;2
tb6,feasibility,0.00,0.00,0,99.18,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,0.00,0.00,0,99.32,0.00,0.00,1,38;36;23;29;45;44;1
tb1,optimized,0.00,0.00,0,223.09,0.00,0.00,3,45;4;19;30;2;43;14;10;42;48;47;50
tb2,optimized,0.00,0.00,0,110.61,0.00,0.00,0,20;39;23;12;13;41;36;38
tb3,optimized,0.00,0.00,0,112.40,0.00,0.00,1,28;7;6;16
tb4,optimized,0.00,0.00,0,137.33,0.00,0.00,0,27;11;21;8;15;25;40
tb5,optimized,0.00,0.00,0,225.02,0.00,0.00,3,35;49;3;31;17;26;37;5;18
tb6,optimized,0.00,0.00,0,96.40,0.00,0.00,0,1;34;44;46;29
tb7,optimized,0.00,0.00,0,142.66,0.00,0.00,1,22;24;32;33;9
