robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,805.10,53.30,1,175.68,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,threshold,439.23,48.63,0,124.93,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,874.37,53.21,1,223.56,0.00,354.73,0,15;19;25;28;3;6;c2;26;8
tb4,threshold,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,1069.49,50.31,1,139.75,210.98,367.03,0,32;10;9;33;c1;37;2
tb6,threshold,510.57,54.05,0,108.37,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,885.62,52.59,1,112.04,0.00,407.22,0,38;36;23;29;45;c3;44;1
tb1,feasibility,805.10,53.30,1,175.68,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,feasibility,439.23,48.63,0,124.93,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,874.37,53.21,1,223.56,0.00,354.73,0,15;19;25;28;3;6;c2;26;8
tb4,feasibility,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,1069.49,50.31,1,139.75,210.98,367.03,0,32;10;9;33;c1;37;2
tb6,feasibility,510.57,54.05,0,108.37,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,885.62,52.59,1,112.04,0.00,407.22,0,38;36;23;29;45;c3;44;1
tb1,optimized,805.10,53.30,1,175.68,0.00,301.14,0,39;48;18;43;c1;40;5;20;16
tb2,optimized,439.23,48.63,0,124.93,0.00,0.00,0,30;50;31;13;41;35;27
tb3,optimized,481.48,50.06,0,185.40,0.00,0.00,2,15;19;25;28;3;6;26;8
tb4,optimized,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,optimized,881.71,50.31,1,162.95,0.00,367.03,0,32;10;9;33;c2;37;2
tb6,optimized,510.57,54.05,0,108.37,0.00,0.00,0,42;7;22;12;46;21;17
tb7,optimized,885.62,52.59,1,112.04,0.00,407.22,0,38;36;23;29;45;c3;44;1
