robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,493.60,52.44,0,165.33,0.00,0.00,6,39;48;18;43;40;5;20;16
tb2,threshold,440.15,48.70,0,126.42,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,876.10,53.29,1,224.50,0.00,355.51,0,15;19;25;28;3;6;c2;26;8
tb4,threshold,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,463.19,47.97,0,111.81,0.00,0.00,0,32;10;9;33;37;2
tb6,threshold,508.75,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,472.91,52.14,0,106.81,0.00,0.00,0,38;36;23;29;45;44;1
tb1,feasibility,493.60,52.44,0,165.33,0.00,0.00,6,39;48;18;43;40;5;20;16
tb2,feasibility,440.15,48.70,0,126.42,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,876.10,53.29,1,224.50,0.00,355.51,0,15;19;25;28;3;6;c2;26;8
tb4,feasibility,485.86,51.32,0,127.16,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,463.19,47.97,0,111.81,0.00,0.00,0,32;10;9;33;37;2
tb6,feasibility,508.75,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,472.91,52.14,0,106.81,0.00,0.00,0,38;36;23;29;45;44;1
tb1,optimized,1112.00,76.83,3,253.67,0.00,398.35,0,45;4;19;c1;30;2;c1;43;14;c2;10;42;48;47;50
tb2,optimized,460.34,50.71,0,128.24,0.00,0.00,0,20;39;23;12;13;41;36;38
tb3,optimized,320.45,24.28,1,128.33,0.00,80.03,0,28;c1;7;6;16
tb4,optimized,493.65,51.74,0,149.16,0.00,0.00,0,27;11;21;8;15;25;40
tb5,optimized,1063.42,67.88,3,310.16,0.00,356.13,0,35;c3;49;c3;3;31;17;c3;26;37;5;18
tb6,optimized,453.55,47.48,0,107.60,0.00,0.00,0,1;34;44;46;29
tb7,optimized,901.85,59.52,1,200.64,0.00,277.14,0,22;24;c2;32;33;9
