robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1565.35,88.75,2,229.96,132.50,616.09,0,31;16;42;15;45;c2;34;25;37;12;c2;18;43;28;40
tb2,threshold,1362.08,86.24,1,239.83,85.14,469.19,0,2;50;44;11;8;14;6;48;c2;39;36;41;20;47;1
tb3,threshold,1679.25,90.55,2,248.16,229.56,587.16,0,3;35;10;32;27;c1;46;13;19;9;c1;24;30;4;17
tb4,threshold,1485.32,86.55,1,202.55,147.01,489.07,0,21;5;33;23;26;7;c1;29;22;38;49
tb1,feasibility,763.14,84.33,0,176.34,0.00,0.00,14,31;16;42;15;45;34;25;37;12;18;43;28;40
tb2,feasibility,1366.50,86.98,1,236.83,0.00,561.75,0,2;50;44;11;8;14;6;48;39;c2;36;41;20;47;1
tb3,feasibility,1515.61,88.29,2,220.71,0.00,680.52,0,3;35;10;32;27;c1;46;13;19;9;24;c1;30;4;17
tb4,feasibility,1933.64,86.96,1,175.32,529.40,582.23,0,21;5;33;23;26;7;29;c2;22;38;49
tb1,optimized,1078.77,71.47,2,310.77,60.82,327.39,0,37;18;c1;38;13;11;c2;43;36;14;10;49
tb2,optimized,1380.69,94.72,1,225.48,139.67,341.58,0,35;9;21;33;c1;31;1;5;32;30;39;17;20;19
tb3,optimized,1518.00,99.20,2,270.16,0.00,587.69,0,16;40;23;45;c2;28;46;48;c1;42;3;44;8;29;6
tb4,optimized,1539.73,106.06,2,344.14,28.43,465.28,0,24;27;25;c1;22;7;2;c2;34;50;4;47;41;12;15;26
