robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1117.73,82.87,1,168.90,0.00,341.36,5,32;44;1;37;c2;16;40;48;11;8;38;13;12
tb2,threshold,1362.00,85.69,1,232.19,0.00,561.55,0,15;4;25;34;27;30;19;10;39;c3;17;6;14;36;26
tb3,threshold,827.81,88.46,0,185.48,0.00,0.00,15,5;20;21;47;50;22;7;29;3;2;9;24;28
tb4,threshold,803.06,87.61,0,202.35,0.00,0.00,9,33;31;41;45;43;42;46;23;18;49;35
tb1,feasibility,1529.12,83.61,2,177.88,0.00,743.77,0,32;44;1;37;16;c2;40;48;11;8;38;c3;13;12
tb2,feasibility,1537.93,84.30,1,208.89,164.76,596.01,0,15;4;25;34;27;30;19;10;39;17;c2;6;14;36;26
tb3,feasibility,1140.93,89.68,1,200.22,0.00,298.37,6,5;20;21;47;50;c1;22;7;29;3;2;9;24;28
tb4,feasibility,1283.79,87.62,1,202.48,0.00,480.59,0,33;31;41;45;43;42;c3;46;23;18;49;35
tb1,optimized,1451.39,90.78,3,342.50,5.36,532.42,0,15;7;41;29;c3;8;20;39;c2;4;c3;33;27;47;5;14
tb2,optimized,1610.96,103.49,3,256.33,0.00,633.75,0,9;21;c1;18;49;34;17;45;c3;24;c1;2;40;22;38;31
tb3,optimized,1076.20,74.65,2,283.53,0.00,366.68,0,11;42;6;c2;13;12;50;1;c1;23;35;30;44
tb4,optimized,1574.15,106.71,2,316.79,0.00,556.56,0,46;43;37;36;c2;10;19;25;c1;28;32;3;16;26;48
