robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1058.35,71.01,1,191.02,0.00,385.64,0,41;36;22;8;17;c2;4;49;23;48
tb2,threshold,1427.21,70.35,1,230.72,194.11,537.93,0,13;29;35;28;24;34;c2;18;30;1
tb3,threshold,662.23,70.65,0,194.96,0.00,0.00,10,44;39;42;37;12;27;33;11;15;2
tb4,threshold,1223.78,74.89,1,213.64,0.00,524.87,0,32;25;16;38;31;43;20;9;c1;10;19;47;5
tb5,threshold,1223.43,72.94,1,163.11,0.00,543.06,0,3;21;50;40;45;46;c3;14;7;26;6
tb1,feasibility,1058.35,71.01,1,191.02,0.00,385.64,0,41;36;22;8;17;c2;4;49;23;48
tb2,feasibility,1798.38,70.58,1,210.04,538.63,585.26,0,13;29;35;28;24;34;18;c1;30;1
tb3,feasibility,662.23,70.65,0,194.96,0.00,0.00,10,44;39;42;37;12;27;33;11;15;2
tb4,feasibility,1253.03,73.95,1,202.24,0.00,565.52,0,32;25;16;38;31;43;20;9;10;c1;19;47;5
tb5,feasibility,1272.32,74.28,1,184.82,0.00,570.24,0,3;21;50;40;45;46;14;c3;7;26;6
tb1,optimized,1423.95,82.17,5,259.92,0.00,636.28,0,2;19;c1;34;5;30;c1;10;50;c1;31;c3;44;c3;4;40
tb2,optimized,472.95,49.98,0,129.22,0.00,0.00,0,27;33;25;21;28;15
tb3,optimized,1432.90,81.92,4,288.22,0.00,633.88,0,6;8;c2;43;1;11;c3;20;36;c3;32;49;c1;37;12
tb4,optimized,1466.43,101.45,2,347.94,16.16,467.46,0,26;14;c3;24;46;7;c2;41;13;38;3;22;23;48
tb5,optimized,972.81,67.07,2,257.60,5.75,310.70,0,29;45;c2;47;18;c2;39;16;17;42;9;35
