robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,805.07,53.29,1,175.61,0.00,301.17,0,39;48;18;43;c1;40;5;20;16
tb2,threshold,438.67,48.58,0,124.93,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,1096.81,53.22,1,246.48,199.43,354.61,0,15;19;25;28;3;6;c1;26;8
tb4,threshold,485.90,51.33,0,127.21,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,1116.01,50.23,1,163.11,235.83,366.22,0,32;10;9;33;c2;37;2
tb6,threshold,508.74,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,813.65,53.31,1,120.59,0.00,326.58,0,38;36;23;29;c2;45;44;1
tb1,feasibility,805.07,53.29,1,175.61,0.00,301.17,0,39;48;18;43;c1;40;5;20;16
tb2,feasibility,438.67,48.58,0,124.93,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,1096.81,53.22,1,246.48,199.43,354.61,0,15;19;25;28;3;6;c1;26;8
tb4,feasibility,485.90,51.33,0,127.21,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,1116.01,50.23,1,163.11,235.83,366.22,0,32;10;9;33;c2;37;2
tb6,feasibility,508.74,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,813.65,53.31,1,120.59,0.00,326.58,0,38;36;23;29;c2;45;44;1
tb1,optimized,1162.45,76.31,2,272.30,25.14,405.55,0,45;4;19;c1;30;2;43;14;c1;10;42;48;47;50
tb2,optimized,459.60,50.65,0,127.46,0.00,0.00,0,20;39;23;12;13;41;36;38
tb3,optimized,320.45,24.28,1,128.33,0.00,80.03,0,28;c1;7;6;16
tb4,optimized,494.05,51.78,0,149.35,0.00,0.00,0,27;11;21;8;15;25;40
tb5,optimized,1059.63,67.79,3,307.26,0.00,355.27,0,35;c2;49;c2;3;31;17;c2;26;37;5;18
tb6,optimized,454.09,47.53,0,107.76,0.00,0.00,0,1;34;44;46;29
tb7,optimized,920.47,59.52,1,169.88,49.39,277.14,0,22;24;c1;32;33;9
