robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,804.51,53.38,1,177.61,0.00,299.43,0,39;48;18;43;c1;40;5;20;16
tb2,threshold,438.72,48.58,0,125.08,0.00,0.00,0,30;50;31;13;41;35;27
tb3,threshold,1093.01,53.21,1,246.59,195.64,354.70,0,15;19;25;28;3;6;c1;26;8
tb4,threshold,486.74,51.40,0,127.33,0.00,0.00,0,11;14;49;34;47;4;24
tb5,threshold,1118.10,50.51,1,166.31,231.85,369.04,0,32;10;9;33;c2;37;2
tb6,threshold,508.74,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,threshold,812.92,53.27,1,120.59,0.00,326.23,0,38;36;23;29;c2;45;44;1
tb1,feasibility,804.51,53.38,1,177.61,0.00,299.43,0,39;48;18;43;c1;40;5;20;16
tb2,feasibility,438.72,48.58,0,125.08,0.00,0.00,0,30;50;31;13;41;35;27
tb3,feasibility,1093.01,53.21,1,246.59,195.64,354.70,0,15;19;25;28;3;6;c1;26;8
tb4,feasibility,486.74,51.40,0,127.33,0.00,0.00,0,11;14;49;34;47;4;24
tb5,feasibility,1118.10,50.51,1,166.31,231.85,369.04,0,32;10;9;33;c2;37;2
tb6,feasibility,508.74,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,feasibility,812.92,53.27,1,120.59,0.00,326.23,0,38;36;23;29;c2;45;44;1
tb1,optimized,804.51,53.38,1,177.61,0.00,299.43,0,39;48;18;43;c1;40;5;20;16
tb2,optimized,438.72,48.58,0,125.08,0.00,0.00,0,30;50;31;13;41;35;27
tb3,optimized,874.29,53.21,1,223.51,0.00,354.70,0,15;19;25;28;3;6;c2;26;8
tb4,optimized,486.74,51.40,0,127.33,0.00,0.00,0,11;14;49;34;47;4;24
tb5,optimized,1067.85,50.51,1,143.10,204.80,369.04,0,32;10;9;33;c1;37;2
tb6,optimized,508.74,53.90,0,107.22,0.00,0.00,0,42;7;22;12;46;21;17
tb7,optimized,1242.85,54.44,1,134.78,334.99,406.98,0,38;36;23;29;45;c2;44;1
